<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.11.26	09:00:00	87200	87380	87050	87310	26030	81364	5
2018.11.26	09:15:00	87310	87325	86970	87130	39619	116888	5
2018.11.26	09:30:00	87130	87150	86935	87010	30809	91371	5
2018.11.26	09:45:00	87010	87120	86975	87035	22781	70907	5
2018.11.26	10:00:00	87035	87170	87015	87095	29911	86419	5
2018.11.26	10:15:00	87095	87340	87005	87265	38268	113695	5
2018.11.26	10:30:00	87265	87290	87015	87230	41671	130795	5
2018.11.26	10:45:00	87235	87445	87120	87130	42212	126351	5
2018.11.26	11:00:00	87130	87205	86960	87125	41842	129718	5
2018.11.26	11:15:00	87130	87270	87000	87060	43259	131699	5
2018.11.26	11:30:00	87060	87150	86755	86885	39742	123068	5
2018.11.26	11:45:00	86885	87040	86745	86810	40409	129573	5
2018.11.26	12:00:00	86805	86925	86730	86785	32424	99627	5
2018.11.26	12:15:00	86785	86980	86680	86950	29402	92660	5
2018.11.26	12:30:00	86955	87125	86815	87030	50812	160770	5
2018.11.26	12:45:00	87030	87260	86885	87195	37579	117118	5
2018.11.26	13:00:00	87190	87195	86640	86775	50436	170627	5
2018.11.26	13:15:00	86775	86855	86610	86850	35411	111786	5
2018.11.26	13:30:00	86845	87000	86765	86980	32263	105754	5
2018.11.26	13:45:00	86980	87140	86905	87075	32732	106166	5
2018.11.26	14:00:00	87070	87240	87000	87205	35183	113536	5
2018.11.26	14:15:00	87205	87235	86795	86815	37475	125195	5
2018.11.26	14:30:00	86820	86840	86670	86750	26025	84855	5
2018.11.26	14:45:00	86750	86750	86565	86715	32719	106788	5
2018.11.26	15:00:00	86720	86795	86600	86615	29227	100239	5
2018.11.26	15:15:00	86610	86660	86135	86150	46638	166485	5
2018.11.26	15:30:00	86150	86150	85655	85745	52641	192037	5
2018.11.26	15:45:00	85740	85790	85140	85405	62327	222174	5
2018.11.26	16:00:00	85405	85500	85075	85220	44263	155185	5
2018.11.26	16:15:00	85225	85560	85200	85545	33381	119397	5
2018.11.26	16:30:00	85545	85645	85365	85550	31830	113225	5
2018.11.26	16:45:00	85555	85640	85470	85605	23285	86702	5
2018.11.26	17:00:00	85610	85835	85575	85830	25290	98064	5
2018.11.26	17:15:00	85830	85875	85560	85605	25805	103029	5
2018.11.26	17:30:00	85605	85760	85575	85575	19817	76332	5
2018.11.26	17:45:00	85575	85650	85420	85620	15692	64644	5
2018.11.26	18:00:00	85620	85800	85535	85630	6698	30092	5
2018.11.27	09:00:00	85955	86050	85740	86010	32087	93922	5
2018.11.27	09:15:00	86010	86015	85750	85895	32593	99401	5
2018.11.27	09:30:00	85895	86030	85850	85960	20430	57734	5
2018.11.27	09:45:00	85965	86130	85910	86100	25838	82317	5
2018.11.27	10:00:00	86100	86120	85770	85955	47174	141677	5
2018.11.27	10:15:00	85960	85960	85475	85805	59555	184063	5
2018.11.27	10:30:00	85805	86375	85790	86215	60884	193021	5
2018.11.27	10:45:00	86215	86395	86170	86330	34002	103594	5
2018.11.27	11:00:00	86335	86350	86060	86135	33088	98810	5
2018.11.27	11:15:00	86140	86365	86090	86145	34677	107066	5
2018.11.27	11:30:00	86145	86255	86050	86215	32190	103231	5
2018.11.27	11:45:00	86215	86320	86080	86170	23747	76011	5
2018.11.27	12:00:00	86170	86240	85860	85860	27149	92678	5
2018.11.27	12:15:00	85865	86205	85680	86105	45980	147968	5
2018.11.27	12:30:00	86110	86290	85985	86165	49759	159951	5
2018.11.27	12:45:00	86165	86490	86060	86410	39539	129998	5
2018.11.27	13:00:00	86410	86570	86270	86485	40968	133115	5
2018.11.27	13:15:00	86490	86730	86400	86575	35261	113214	5
2018.11.27	13:30:00	86585	86755	86545	86690	28967	93719	5
2018.11.27	13:45:00	86690	86980	86690	86925	34215	113218	5
2018.11.27	14:00:00	86925	87280	86885	87190	44702	146815	5
2018.11.27	14:15:00	87195	87550	87190	87530	41569	134856	5
2018.11.27	14:30:00	87530	87595	87435	87560	33002	112625	5
2018.11.27	14:45:00	87570	87800	87490	87635	40706	143321	5
2018.11.27	15:00:00	87625	87730	87565	87645	28574	95351	5
2018.11.27	15:15:00	87650	87650	87305	87345	36574	135482	5
2018.11.27	15:30:00	87345	87580	87320	87430	34883	124702	5
2018.11.27	15:45:00	87435	87695	87330	87545	35677	120757	5
2018.11.27	16:00:00	87540	87720	87495	87655	27503	90338	5
